IP Year,Investment Name,Project Details,Department,Service Area,Investment Type,Capital Cost,Percent Funded,Class Estimate,SPAP Theme,Lifecycle Activity Driver,Neighbourhood,Ward,Location,Funded,Unfunded,Funding Year,Growth Enabling or Supportive,Previously Approved Project Funding,GAHP,Rank,Disposal,Preliminary Capital Cost 10 Year,Preliminary Funded 10 Year,Preliminary Unfunded 10 Year,Preliminary Capital Cost 6 Year,Preliminary Funded 6 Year,Preliminary Unfunded 6 Year
2024,Millennium Library Parkade High Priority Repairs 2024-2027,"The Millennium Library Parkade requires capital repairs to be undertaken between 2024-2027, that if left unattended, could cause an unplanned closure of the parkade. In 2024 detailed design work will be undertaken and construction will take place between 2025-2027. The primary elements being repaired are structural work on the P1 slab to address concrete deterioration, replacing lighting system controls that are obsolete and replacing the air handler unit that is past it's useful life. The repairs are staggered over three years to allow for continued use of the parkade.",Public Works,Parking,Project,$0,100%,5,The Downtown,Renew,South Portage,Fort Rouge - East Fort Garry,POINT (-97.142058 49.891789),"3,284,000",0,2026,,,N,1,,,,,,,
2023,Tyndall Park Community Centre Addition,text,Community Services,Recreation,Project,"$8,300,000",0%,5,Good Health & Well-Being,Growth,Tyndall Park,Point Douglas,POINT (-97.20351 49.93711),0,"8,300,000",2024,,,,,,,,,,,
2023,Tree Replacement on Major Routes,text,Public Works,Urban Forests,Program,"$12,688,000",0%,,Environmental Resilience,Renew,,,,0,"1,569,000",2027,,,,,,,,,,,
2024,West End Sewage Treatment Plant (WEWPCC) Facilities Plan,The West End Sewage Treatment Plant (WEWPCC) was upgraded to remove nutrients in 2008. Assets of the sewage treatment plant that were not part of the upgrade are in various stages of condition/life-span.,Water and Waste,Wastewater,Project,$0,100%,3,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,POINT (-97.33230115 49.83968464),0,0,2027,Growth-enabling infrastructure,,N,15,,,,,,,
2024,Network Products Evergreen,Network Products Evergreen is the implementation and enhancement of the backbone network infrastructure which connects the computers in civic departments. This is a high speed infrastructure to enable the sharing and distribution of corporate information across departments in support of organizational business requirements.,Innovation and Technology,Water,Program,$0,83%,,A City that Works for Residents through Improved Customer Service,Renew,,,,0,0,2030,,,N,1,,,,,,,
2024,Provencher Outdoor Pool Redevelopment,"The existing outdoor pool at this site is in poor condition, does not meet current accessibility standards nor provide adequate play value and amenities to serve this community or meet levels of service. The new pool will replace the end-of-life asset and include contemporary pool features such as an accessible pool access ramp, slides, spray features, shaded seating areas, diving board(s) and a new pool change/washroom and mechanical system building.",Community Services,Recreation,Project,$0,0%,5,"A Livable, Safe, Healthy, Happy City",Upgrade,Central St. Boniface,St. Boniface,POINT (-97.117877 49.891049),0,0,2032,,,Y,15,,,,,,,
2023,Regional and Local Street Renewal,text,Public Works,Roads - Regional,Program,"$1,737,705,000",100%,,Leadership & Good Governance,Renew,,,,"180,079,000",0,2028,,,,,,,,,,,
2023,West End Sewage Treatment Plant (WEWPCC) Facilities Plan,text,Water and Waste,Wastewater,Project,"$35,000,000",100%,3,Environmental Resilience,Renew,,,POINT (-97.33230115 49.83968464),"35,000,000",0,2030,Growth-enabling infrastructure,,,,,,,,,,
2023,Road Safety Improvement Program (formerly Traffic Engineering Improvements - Various Locations),text,Public Works,Roads - Regional,Program,"$24,512,000",100%,,Good Health & Well-Being,Operations & Maintenance,,,,"1,402,000",0,2026,,,,,,,,,,,
2023,Road Safety Improvement Program (formerly Traffic Engineering Improvements - Various Locations),text,Public Works,Roads - Regional,Program,"$24,512,000",100%,,Good Health & Well-Being,Operations & Maintenance,,,,"3,000,000",0,2031,,,,,,,,,,,
2024,River Crossings Monitoring and Rehabilitation,"This program is for the condition assessment, rehabilitation and/or replacement of the sewer river crossings, and for the installation of leak detection equipment on the existing waterway crossings. The department has completed a risk assessment of all river crossings in order to determine a prioritization plan for ongoing condition assessment as well as to upgrade and replace any at-risk crossings as required by Environment Licences issued by the Province of Manitoba for the wastewater collection system in the City of Winnipeg. These funds will also be used to install continuous leak detection monitoring equipment at river crossings as required by the Provincial Environmental Licence.",Water and Waste,Wastewater,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,0,0,2033,,,N,19,,,,,,,
2024,Continuous Improvement and Innovation Program (Formerly Innovation Program),"The Innovation Program will enable the City to create innovative ideas, utilize innovative technologies and approaches to improve existing systems, tools, and processes to primarily reduce costs or increase revenue, improve service levels, and add new capabilities. This will enable the Director of Innovation & Technology to fulfill the mandate of driving innovation for the City of Winnipeg to be smarter, more efficient, and more effective in meeting the needs of a growing city.",Innovation and Technology,Contact Centre - 311,Program,$0,43%,,A City that Works for Residents through Improved Customer Service,Upgrade,,,,0,"537,000",2026,,,N,1,,,,,,,
2024,Consolidate Central and North St Boniface Stations,Consolidation of Station 2 (55 Watt St.) and Station 3 (337 Rue DeMeurons) into a single fit-for-purpose station on existing city land.,Fire Paramedic Service,Fire & Rescue Response,Project,$0,0%,5,"A Livable, Safe, Healthy, Happy City",Renew,Central St. Boniface,St. Boniface,POINT (-97.11060219 49.88512328),0,0,2030,,,N,9,,,,,,,
2024,Pumping Stations and Reservoirs Structural Upgrades: General,"The McPhillips, Wilkes and MacLean reservoirs provide balancing storage to meet fluctuating daily water demands; the McPhillips, Hurst, and MacLean pumping stations provide the final pumping to deliver water to the water utility customers. These pump stations and reservoirs were constructed in the early 1960s. It is anticipated that the building structures will require upgrading to ensure the uninterrupted operation of these pumping facilities.  Condition assessments will be undertaken at the reservoirs to identify any repairs needed to ensure the reservoirs remain operational for the next 50 years. Additional investments in the pumping stations and reservoirs will be put forward as a result of the condition assessments.",Water and Waste,Water,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,0,0,2025,,,N,9,,,,,,,
2023,Community Centre Renovation Grant Program (CCRGP),text,Community Services,Recreation,Commitment,"$10,685,000",100%,,Good Health & Well-Being,Renew,,,,"965,000",0,2032,,,,,,,,,,,
2024,Brady Road Resource Management Facility Alternative Energy Project,This project will implement an alternative energy program to convert landfill gas to either electricity or natural gas.,Water and Waste,Solid Waste Disposal,Project,$0,0%,5,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,La Barriere,St. Norbert - Seine River,POINT (-97.212998 49.757805),0,0,2031,,,N,5,,,,,,,
2024,"Water Supply, Treatment, and Distribution Electrical Upgrades","Maintaining the condition and performance of electrical equipment is vital to the safe and continuous supply, treatment, and distribution of drinking water for the City of Winnipeg. Electrical inspections will be undertaken in a phased approach at the City's various water facilities to test and assess the condition and performance of critical electrical equipment. Extensive repairs or upgrades that are identified in the inspections will be subject to future capital requests.",Water and Waste,Water,Project,$0,100%,5,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,0,0,2029,,,N,13,,,,,,,
2024,Spray Pad Investment Fund,Capital investment is required to construct new spray pads to address service gaps and replace and/or decommission end of service life wading pools. Selected locations will be in alignment with the customer levels of service defined in the Council adopted Wading Pool Rationalization & Spray Pad Reinvestment Strategy and the Winnipeg Recreation Strategy.,Community Services,Recreation,Program,"$34,500,000",58%,,"A Livable, Safe, Healthy, Happy City",Upgrade,,,,0,0,2024,,,Y,10,"1,649,100","34,500,000",0,"34,500,000","19,500,000",0,"19,500,000"
2024,Soil Fabrication for Landfill Cover,"This is a program for all-season fabrication of soil to supplement city topsoil requirements. The soil fabrication process uses city residuals, such as biosolids, street sweepings from winter road operations (sand and grit), and woodchips to fabricate topsoil. This is then spread and seeded with native prairie species at the City landfills. Operations include ongoing environmental and vegetative monitoring.",Water and Waste,Solid Waste Disposal,Program,$0,50%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,"110,000","1,690,000",2027,,,N,3,,,,,,,
2024,Rapid Transit Construction,Construction of future Rapid Transit Corridors identified in the Winnipeg Transit Master Plan. Costs identified include the first four of eight potential corridors.,Winnipeg Transit,Public Transit,Program,$0,0%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Growth,,,,0,0,2032,,,N,10,,,,,,,
2023,Arlington Bridge Replacement (Tub Girder option),text,Public Works,Bridges - Regional,Project,"$339,700,000",0%,3,City Building,Renew,Dufferin Industrial,Mynarski,POINT (-97.16028104 49.91439515),0,"55,500,000",2025,,,,,,,,,,,
2024,Bonivista Recreation and Leisure Centre,"The proposed project involves the development of a new community centre facility, including gymnasium space to serve population growth in southeast Winnipeg.",Community Services,Recreation,Project,"$16,023,000",33%,5,"A Livable, Safe, Healthy, Happy City",Growth,Fraipont,St. Vital,POINT (-97.061194 49.823781),"250,000",0,2024,Growth-supportive infrastructure,,N,12,,,,,,,
2023,Community Centre Investment Fund (CCIF),text,Community Services,Recreation,Program,"$50,000,000",0%,,Good Health & Well-Being,Upgrade,,,,0,0,2025,,,,,,,,,,,
2023,Police Headquarters Information System Upgrades,text,Winnipeg Police Service,Police Service/Crime Prevention,Project,"$5,350,000",100%,4,Leadership & Good Governance,Upgrade,South Portage,Fort Rouge - East Fort Garry,POINT (-97.14105021 49.89231132),0,0,2030,,,,,,,,,,,
2024,Lift Station Upgrading: Station Rehabilitation,"This is a program for mitigating hydraulic, structural, safety, odour and aesthetic problems, as well as for undertaking capacity assessments for the 75 lift stations and associated force mains, gate chambers, and related works in the sewage collection system.",Water and Waste,Wastewater,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,"7,000,000",0,2028,,,N,9,,,,,,,
2024,Equipment Obsolescence,This capital program supports the ongoing replacement of emergency response equipment that is nearing the end of its useful operating life. The replacement timing is set to ensure continuity of front line emergency operation while maximizing the operating life of the equipment and ensuring value for money.,Fire Paramedic Service,Fire & Rescue Response,Program,$0,100%,,"A Livable, Safe, Healthy, Happy City",Renew,,,,"2,412,000",0,2029,,,N,2,,,,,,,
