MeetingType,MeetingDate,Resolution,Voter,Vote,Result
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following Motion Arising be adopted:
That Council request the Mayor to write a letter on behalf of the City Council to advocate for the Government of Alberta to incorporate and fully fund community Court into the provincial court system.",Andrew Yule,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted:
That sub-bullets be inserted under Recommendation 1, as follows:
Approving $3.0 million of capital budget in 2026, funded from the Fiscal Stability Reserve, to YMCA Calgary through Civic Partners towards the detailed design and permitting of West District YMCA and Library",Dan McLean,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Allocating $8.0 million from the Fiscal Stability Reserve as follows:





 $3.0 million to the Heritage Incentive Reserve; and
 $5.0 million to the Heritage Calgary Reserve Fund",Harrison Clark,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted:
That a new sub-bullet be inserted under Recommendation 1, as follows:
Allocating $1.0 million in one-time funding in 2026 to Operational Services from the Fiscal Stability Reserve (FSR) for the Washroom Attendant Program at Devonian Gardens, Century Gardens Park, and Central Memorial Park, and direct Administration to consider this item for ongoing funding in the preparation of the 2027-2030 Budget",Landon Johnston,No,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Reducing the 2026 ongoing operating budget of the following departments by 2.4% for a total of $9.5 ;million: ;



Chief Administrator's Office ($180,000);
Chief Operating Office ($800,000);
Corporate Planning & Financial Services ($2,170,000);
People, Innovation & Collaboration Services ($4,675,000); and
Law, ;Legislative Services ;& Security ;($1,675,000)",Mike Jamieson,Yes,MOTION DEFEATED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Allocating ;$9.0 ;million in one-time operating funding to Community Services in 2026, to be funded from Fiscal Stability Reserve for the purpose of improving transit safety, and direct Administration to: ;
i. Focus security enhancements on C-Train stations during afternoon rush hour (4 PM  8 PM), based on incident data;
ii. Implement Tiered Security Model as outlined in the Public Transit Safety Strategy:





Transit Peace Officers (TPOs): Mobile patrols, enforcement, complex calls; provide rapid response and support to static guards;
Corporate Security: Fixed posts at priority stations for observation, reporting, and customer assistance;
Contracted security guards: Scalable resource for ;additional ;fixed posts during expansion ;phase; ;





iii. Use phased approach to deploy security staff until additional peace officers are hired (aligned with growth strategy from 2024);
iv. Increase community outreach activities by adding six officers to the Community Outreach Team; and
v. Report back to Council Q3 2026 with results to determine if public perceived C-train was safer as a result",Rob Ward,No,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following Motion Arising be adopted:
That Council direct Administration to commence ;scoping ;work to support ;a zero-based review program ;that includes the use of third-party consultants ;to work with staff with a report back to Council no later than ;the end of Q1 ;2026 ;including the following ;deliverables: ; ;

a ;work plan outlining timeline, resource requirements, and governance structure for the program;
criteria for selecting ;Business Units ;(e.g., cost, complexity, citizen impact, alignment with Council priorities);
a prioritized list of business units; and ; ;
proposed review schedule for 20262028. ;",Rajdeep Dhaliwal,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted:
That a new sub-bullet be inserted under Recommendation 1, as follows: ;
Allocating $2.0 million in capital funding in 2026 to Operational Services for New Traffic Signals and Pedestrian Corridors (P127-130) for two Rectangular Rapid Flash Beacons (RRFBs) per ward, at locations driven by safety need and informed by community and area Councillor input, to be funded from corporate capital grants",Andrew Yule,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following Motion Arising be adopted: ;
That Council:

Agree in principle that the municipal share of provincial traffic fine revenue should be fully restored, and the reduction of photo radar services be reviewed against outcomes;
Express Councils intention that any restored revenue be earmarked for traffic-safety improvements, including but not limited to safer intersections, crosswalk upgrades, school-zone protections, and traffic-calming measures;
Request the Mayor to communicate Councils position to the Government of Alberta and to work collaboratively with the Minister of Justice, Minister of Municipal Affairs, and Minister of Transportation and Economic Corridors on an updated traffic fine revenue framework and photo radar service framework that restores municipal funding and supports community safety; and
Direct Administration to report back through Infrastructure and Planning Committee with options for allocating any restored revenues toward priority capital safety projects once provincial decisions are known.",Andre Chabot,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following Motion Arising be adopted:
That Council direct Administration to commence ;scoping ;work to support ;a zero-based review program ;that includes the use of third-party consultants ;to work with staff with a report back to Council no later than ;the end of Q1 ;2026 ;including the following ;deliverables: ; ;

a ;work plan outlining timeline, resource requirements, and governance structure for the program;
criteria for selecting ;Business Units ;(e.g., cost, complexity, citizen impact, alignment with Council priorities);
a prioritized list of business units; and ; ;
proposed review schedule for 20262028. ;",Rob Ward,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"With respect to report C2025-0901, the following amendment be adopted: ;
That a new sub-bullet be inserted under ;Recommendation 1, as follows: ;
That with respect to the Community Services budget for the Calgary Fire Department, approving the following for 2026: ; ;



Engine: $4.5 million ongoing operating, funded from property taxes, and $2.2 million capital (P044_D02), funded by corporate capital grant;
Training Coordinator - $230,000 ongoing operating, funded from property taxes;
4 training officers - $860,000 ongoing operating, funded from property taxes; and
6 mechanics - $900,000 ongoing operating, funded from property taxes ;",Rob Ward,Yes,MOTION CARRIED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following amendment be adopted:
That a new sub-bullet be inserted under Recommendation 1, as follows:
Allocating $900,000 from the Fiscal Stability Reserve ;to Community Services to the National Music Centre ;to support initiatives and programming commemorating their 10th Anniversary",DJ Kelly,No,MOTION DEFEATED
Regular Meeting of Council,2025-11-10,"That with respect to Report C2025-0901, the following Motion Arising be adopted: ;
That Council directs Administration to prepare a report outlining the creation of a new Standing Policy Committee called the SPC on Finance, Budget and Corporate Services, with a mandate to:

Provide oversight and advice to Administration on the implementation of the 4-year budget and annual budget adjustments;
Perform a detailed review of every Departmental/Business Unit budget over the course of the 4-year term; and

Report to return to Council on or before end of Q1 2026.",Kim Tyers,Yes,MOTION CARRIED
